Harmonikus,Elméleti (Hz),Model (Hz),Valós (Hz),Eltérés (Hz),Megjegyzés
f1,82.41,2567.11,86.13,2480.98,❗ Jelentős
f2,164.82,2570.31,166.88,2403.43,❗ Jelentős
f3,247.23,2688.82,247.63,2441.19,❗ Jelentős
f4,329.64,2594.33,333.76,2260.57,❗ Jelentős
f5,412.05,576.52,419.90,156.62,❗ Jelentős
f6,494.46,2642.38,500.65,2141.73,❗ Jelentős
f7,576.87,2930.64,231.48,2699.15,❗ Jelentős
f8,659.28,1069.76,193.80,875.96,❗ Jelentős
f9,741.69,1723.15,1964.90,241.75,❗ Jelentős
f10,824.10,411.57,290.70,120.87,❗ Jelentős
